Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar,Quarter,Year
1987-03-31,405.96562499999993,340.15625,62173.53281250001,263.2874999999999,543.1796874999999,627.7781250000004,5250.028125,1521.7234374999998,1490.2671874999996,10395.328124999996,346978.0359375,844.8125,603.9578125,1,1987
1987-06-30,449.2692307692306,370.5015384615383,64053.07230769231,273.55230769230775,598.6276923076922,669.5430769230769,5713.084615384616,1683.7753846153848,1648.7861538461539,11426.895384615384,371449.53230769234,903.9553846153846,628.4507692307694,2,1987
1987-09-30,457.0742424242424,383.0954545454546,67121.74545454547,282.4742424242425,603.8651515151515,696.4242424242425,5924.3772727272735,1712.8287878787883,1677.1909090909087,11739.945454545457,368840.54696969694,940.1681818181818,639.3893939393942,3,1987
1987-12-31,473.1045454545455,369.2106060606061,64022.293939393945,269.6969696969697,619.9015151515152,662.1409090909092,6111.971212121212,1771.8106060606058,1736.489393939394,11905.946969696965,377277.253030303,941.334848484849,671.910606060606,4,1987
1988-03-31,453.8923076923078,349.1015384615385,58018.25076923075,252.31538461538466,574.9784615384616,623.1784615384614,5887.164615384615,1700.8261538461536,1665.698461538461,11360.556923076923,350099.4184615383,930.6523076923078,630.2938461538461,1,1988
1988-06-30,451.4784615384615,353.9323076923077,56733.36923076924,245.3815384615384,555.0353846153847,640.5446153846153,6047.672307692306,1693.6153846153845,1658.5507692307697,11334.364615384615,332483.08923076926,996.8076923076922,580.6138461538462,2,1988
1988-09-30,427.40757575757584,366.2909090909091,57172.45303030303,252.10151515151517,521.3803030303028,668.709090909091,6076.248484848484,1603.604545454545,1570.4242424242423,10888.636363636364,309164.2878787879,1040.162121212121,534.8318181818182,3,1988
1988-12-31,415.2676923076921,338.15846153846155,51917.16923076923,231.8215384615384,500.85384615384623,619.9892307692307,6159.210769230771,1556.5476923076922,1524.3230769230775,10433.492307692308,288496.59230769216,996.4123076923074,494.0046153846155,4,1988
1989-03-31,394.28769230769245,331.90153846153845,50685.138461538474,225.68769230769232,470.20615384615394,623.743076923077,6009.216923076925,1480.6199999999997,1449.6799999999998,9990.629230769235,267614.1692307693,971.0646153846154,466.51076923076937,1,1989
1989-06-30,374.0246153846154,328.00153846153853,51639.15846153845,230.26307692307697,446.52307692307687,634.163076923077,5997.004615384616,1403.9046153846155,1374.8200000000002,9598.61076923077,249712.80153846156,999.0323076923075,482.13230769230756,2,1989
